country code,country,continent,indicator type,2016,2017,2018,2019,2020,2021,2022,region 1,difference,inflation_category
ABW,Aruba,North America,Inflation,-0.89,-0.47,3.58,4.26,1.22,0.74,6.04,Caribbean,5.3,Inflation
AFG,Afghanistan,Asia,Inflation,4.38,4.98,0.63,2.3,5.44,5.06,,Southern Asia,,Inflation
AGO,Angola,Africa,Inflation,32.38,29.84,19.63,17.08,21.02,23.85,21.35,Middle Africa,-2.5,deflation
ALB,Albania,Europe,Inflation,1.29,1.99,2.03,1.41,1.62,2.04,6.73,Southern Europe,4.69,Inflation
ARE,United Arab Emirates,Asia,Inflation,1.62,1.97,3.06,-1.93,-2.08,0.18,5.22,Western Asia,5.04,Inflation
ARG,Argentina,South America,Inflation,39.4,25.68,34.28,53.55,42.02,48.41,72.43,South America,24.02000000000001,Inflation
ARM,Armenia,Asia,Inflation,-1.41,1.03,2.52,1.44,1.21,7.18,8.78,Western Asia,1.5999999999999996,Inflation
ATG,Antigua and Barbuda,North America,Inflation,-0.49,2.43,1.21,1.48,1.06,1.63,8.52,Caribbean,6.89,Inflation
AUS,Australia,Oceania,Inflation,1.28,1.97,1.91,1.61,0.85,2.82,6.5,Australia and New Zealand,3.68,Inflation
AUT,Austria,Europe,Inflation,0.89,2.23,2.0,1.49,1.38,2.77,8.5,Western Europe,5.73,Inflation
AZE,Azerbaijan,Asia,Inflation,12.44,12.84,2.33,2.71,2.76,6.65,13.85,Western Asia,7.199999999999999,Inflation
BDI,Burundi,Africa,Inflation,5.56,16.64,-2.81,-0.71,7.32,8.31,17.34,Eastern Africa,9.03,Inflation
BEL,Belgium,Europe,Inflation,1.97,2.22,2.05,1.25,0.74,2.44,9.6,Western Europe,7.16,Inflation
BEN,Benin,Africa,Inflation,-0.85,1.77,0.83,-0.93,3.02,5.92,1.31,Western Africa,-4.609999999999999,deflation
BFA,Burkina Faso,Africa,Inflation,-0.24,0.35,1.96,-3.23,1.88,3.85,14.29,Western Africa,10.44,Inflation
BGD,Bangladesh,Asia,Inflation,5.51,5.61,5.55,5.47,5.69,5.31,7.7,Southern Asia,2.3900000000000006,Inflation
BGR,Bulgaria,Europe,Inflation,-0.8,1.19,2.81,2.46,1.67,2.79,15.33,Eastern Europe,12.54,Inflation
BHR,Bahrain,Asia,Inflation,2.8,1.39,2.08,1.0,-2.32,-0.61,3.61,Western Asia,4.22,Inflation
BHS,"Bahamas, The",North America,Inflation,-0.35,1.55,2.23,1.34,0.04,2.91,5.66,Caribbean,2.75,Inflation
BIH,Bosnia and Herzegovina,Europe,Inflation,-1.06,0.81,1.27,0.62,-1.05,1.98,13.66,Southern Europe,11.68,Inflation
BLR,Belarus,Europe,Inflation,11.8,6.03,4.87,5.6,5.55,9.46,15.21,Eastern Europe,5.75,Inflation
BLZ,Belize,North America,Inflation,0.66,1.15,0.24,0.19,0.12,3.26,6.18,Central America,2.92,Inflation
BOL,Bolivia,South America,Inflation,3.63,2.82,2.27,1.84,0.94,0.74,1.75,South America,1.01,Inflation
BRA,Brazil,South America,Inflation,8.74,3.45,3.66,3.73,3.21,8.3,9.3,South America,1.0,Inflation
BRB,Barbados,North America,Inflation,1.28,4.41,3.69,4.1,2.88,3.06,9.9,Caribbean,6.84,Inflation
BRN,Brunei Darussalam,Asia,Inflation,-0.74,-0.17,0.15,-0.42,1.94,1.74,3.81,South-eastern Asia,2.0700000000000003,Inflation
BTN,Bhutan,Asia,Inflation,4.31,5.53,2.72,2.6,5.63,7.33,12.62,Southern Asia,5.289999999999999,Inflation
BWA,Botswana,Africa,Inflation,2.78,3.3,3.22,2.85,1.89,7.24,11.59,Southern Africa,4.35,Inflation
CAF,Central African Republic,Africa,Inflation,4.01,4.46,1.61,2.68,2.3,4.26,6.53,Middle Africa,2.2700000000000005,Inflation
CYM,Cayman Islands,North America,Inflation,-0.59,2.0,3.3,5.7,1.0,0.76,8.2,Caribbean,7.4399999999999995,Inflation
CAN,Canada,North America,Inflation,1.43,1.6,2.27,1.95,0.72,3.4,6.8,Northern America,3.4,Inflation
CHE,Switzerland,Europe,Inflation,-0.43,0.53,0.94,0.36,-0.73,0.58,2.8,Western Europe,2.2199999999999998,Inflation
CHL,Chile,South America,Inflation,3.79,2.18,2.44,2.25,3.05,4.52,11.6,South America,7.08,Inflation
CHN,China,Asia,Inflation,2.0,1.56,2.07,2.9,2.42,0.9,1.97,Eastern Asia,1.0699999999999998,Inflation
CIV,Côte d'Ivoire,Africa,Inflation,0.71,0.69,0.43,0.81,2.43,4.09,5.28,Western Africa,1.1900000000000004,Inflation
CMR,Cameroon,Africa,Inflation,0.87,0.64,1.07,2.45,2.44,2.27,5.11,Middle Africa,2.8400000000000003,Inflation
COD,"Congo, Dem. Rep.",Africa,Inflation,18.2,35.79,29.27,4.7,11.5,8.99,8.44,Middle Africa,-0.5500000000000007,deflation
COG,"Congo, Rep.",Africa,Inflation,3.19,0.45,1.15,2.21,2.49,1.97,3.5,Middle Africa,1.53,Inflation
COL,Colombia,South America,Inflation,7.51,4.31,3.24,3.52,2.52,3.5,10.2,South America,6.699999999999999,Inflation
COM,Comoros,Africa,Inflation,1.8,0.09,1.75,3.7,3.0,-0.18,11.44,Eastern Africa,11.62,Inflation
CPV,Cabo Verde,Africa,Inflation,-1.41,0.78,1.25,1.11,0.61,1.86,6.5,Western Africa,4.64,Inflation
CRI,Costa Rica,North America,Inflation,-0.02,1.63,2.22,2.1,0.72,1.73,8.28,Central America,6.549999999999999,Inflation
CYP,Cyprus,Asia,Inflation,-1.43,0.68,1.43,0.56,-0.64,0.49,8.4,Western Asia,7.91,Inflation
CZE,Czech Republic,Europe,Inflation,0.68,2.45,2.15,2.86,3.16,3.84,15.1,Eastern Europe,11.26,Inflation
DEU,Germany,Europe,Inflation,0.49,1.71,1.73,1.35,0.51,3.14,7.9,Western Europe,4.76,Inflation
DJI,Djibouti,Africa,Inflation,2.7,0.57,0.15,3.32,2.88,1.18,6.59,Eastern Africa,5.41,Inflation
DMA,Dominica,North America,Inflation,0.03,0.3,0.99,1.61,-0.3,1.57,5.28,Caribbean,3.71,Inflation
DNK,Denmark,Europe,Inflation,0.25,1.06,0.81,0.73,0.42,1.85,7.7,Northern Europe,5.85,Inflation
DOM,Dominican Republic,North America,Inflation,1.63,3.28,3.56,1.81,3.78,8.24,8.81,Caribbean,0.5700000000000003,Inflation
DZA,Algeria,Africa,Inflation,5.8,5.59,3.51,1.95,2.42,7.23,9.96,Northern Africa,2.7300000000000004,Inflation
ECU,Ecuador,South America,Inflation,1.73,0.42,-0.22,0.27,-0.34,0.13,3.47,South America,3.3400000000000003,Inflation
EGY,"Egypt, Arab Rep.",Africa,Inflation,13.81,23.54,14.4,13.88,5.7,5.21,13.89,Northern Africa,8.68,Inflation
ERI,Eritrea,Africa,Inflation,9.0,-13.31,-14.4,-16.36,4.91,6.64,7.35,Eastern Africa,0.71,Inflation
ESP,Spain,Europe,Inflation,-0.2,1.96,1.68,0.7,-0.32,3.09,8.4,Southern Europe,5.3100000000000005,Inflation
EST,Estonia,Europe,Inflation,0.15,3.65,3.44,2.27,-0.44,4.65,19.4,Northern Europe,14.749999999999998,Inflation
ETH,Ethiopia,Africa,Inflation,7.28,10.69,13.84,15.81,20.35,26.84,33.89,Eastern Africa,7.050000000000001,Inflation
FIN,Finland,Europe,Inflation,0.36,0.84,1.08,1.14,0.29,2.19,7.1,Northern Europe,4.91,Inflation
FJI,Fiji,Oceania,Inflation,3.87,3.35,4.08,1.77,-2.6,0.16,4.52,Melanesia,4.359999999999999,Inflation
FRA,France,Europe,Inflation,0.18,1.16,1.85,1.3,0.48,1.64,5.2,Western Europe,3.5600000000000005,Inflation
FSM,"Micronesia, Fed. Sts.",Oceania,Inflation,-1.04,0.1,1.5,1.86,0.48,2.09,5.79,Micronesia,3.7,Inflation
GAB,Gabon,Africa,Inflation,2.09,2.65,4.78,2.02,1.37,1.08,4.23,Middle Africa,3.1500000000000004,Inflation
GBR,United Kingdom,Europe,Inflation,1.0,2.68,2.32,1.79,0.99,2.5,7.9,Northern Europe,5.4,Inflation
GEO,Georgia,Asia,Inflation,2.12,6.04,2.62,4.85,5.2,9.57,11.9,Western Asia,2.33,Inflation
GHA,Ghana,Africa,Inflation,17.44,12.37,9.84,7.18,9.95,9.97,31.92,Western Africa,21.950000000000003,Inflation
GIN,Guinea,Africa,Inflation,8.17,8.91,9.83,9.47,10.6,12.6,12.72,Western Africa,0.120000000000001,Inflation
GMB,"Gambia, The",Africa,Inflation,7.22,8.05,6.52,7.12,5.93,7.37,11.31,Western Africa,3.9400000000000004,Inflation
GNB,Guinea-Bissau,Africa,Inflation,1.5,1.06,1.44,0.25,1.46,3.27,5.52,Western Africa,2.2499999999999996,Inflation
GNQ,Equatorial Guinea,Africa,Inflation,1.4,0.75,1.08,1.21,4.77,-0.09,5.14,Middle Africa,5.2299999999999995,Inflation
GRC,Greece,Europe,Inflation,-0.83,1.14,0.63,0.52,-1.25,1.22,9.6,Southern Europe,8.379999999999999,Inflation
GRD,Grenada,North America,Inflation,1.72,0.91,0.81,0.6,-0.74,1.22,1.22,Caribbean,0.0,Inflation
GTM,Guatemala,North America,Inflation,4.45,4.43,3.75,3.7,3.21,4.26,6.89,Central America,2.63,Inflation
GUY,Guyana,South America,Inflation,0.83,1.94,1.27,2.09,0.72,3.32,7.59,South America,4.27,Inflation
HKG,"Hong Kong SAR, China",Asia,Inflation,2.42,1.48,2.41,2.87,0.33,1.57,1.88,Eastern Asia,0.30999999999999983,Inflation
HKG,Hong Kong SAR,Asia,Inflation,3.38,2.18,3.35,4.86,3.29,1.41,4.63,Eastern Asia,3.2199999999999998,Inflation
HND,Honduras,North America,Inflation,2.72,3.93,4.34,4.36,3.47,4.48,9.09,Central America,4.609999999999999,Inflation
HRV,Croatia,Europe,Inflation,-1.12,1.13,1.5,0.77,0.28,2.55,10.78,Southern Europe,8.23,Inflation
HTI,Haiti,North America,Inflation,13.38,14.74,12.89,17.31,22.8,15.94,26.82,Caribbean,10.88,Inflation
HUN,Hungary,Europe,Inflation,0.39,2.41,2.85,3.37,3.33,5.11,14.6,Eastern Europe,9.489999999999998,Inflation
IDN,Indonesia,Asia,Inflation,3.53,3.81,3.2,2.82,1.92,1.56,4.21,South-eastern Asia,2.65,Inflation
IND,India,Asia,Inflation,4.94,3.6,4.86,4.76,6.62,4.89,6.69,Southern Asia,1.8000000000000007,Inflation
IRL,Ireland,Europe,Inflation,0.01,0.25,0.49,0.88,-0.33,2.36,7.8,Northern Europe,5.4399999999999995,Inflation
IRN,"Iran, Islamic Rep.",Asia,Inflation,7.26,9.64,17.95,41.02,36.5,43.39,42.44,Southern Asia,-0.9500000000000028,deflation
IRQ,Iraq,Asia,Inflation,0.52,0.1,0.63,-0.2,0.57,6.04,5.14,Western Asia,-0.9000000000000004,deflation
ISL,Iceland,Europe,Inflation,1.7,1.76,2.68,3.01,2.85,4.44,8.3,Northern Europe,3.8600000000000003,Inflation
ISR,Israel,Asia,Inflation,-0.54,0.24,0.81,0.84,-0.59,1.49,4.4,Western Asia,2.91,Inflation
ITA,Italy,Europe,Inflation,-0.09,1.33,1.14,0.63,-0.14,1.87,8.2,Southern Europe,6.329999999999999,Inflation
JAM,Jamaica,North America,Inflation,2.35,4.38,3.73,3.91,5.23,5.86,10.35,Caribbean,4.489999999999999,Inflation
JOR,Jordan,Asia,Inflation,-0.78,3.32,4.46,0.68,0.33,1.35,4.23,Western Asia,2.8800000000000003,Inflation
JPN,Japan,Asia,Inflation,-0.12,0.47,0.98,0.48,-0.02,-0.23,2.5,Eastern Asia,2.73,Inflation
KAZ,Kazakhstan,Asia,Inflation,14.59,7.43,6.02,5.24,6.75,8.0,14.99,Central Asia,6.99,Inflation
KEN,Kenya,Africa,Inflation,6.33,7.99,4.69,5.2,5.4,6.11,7.66,Eastern Africa,1.5499999999999998,Inflation
KGZ,Kyrgyz Republic,Asia,Inflation,0.39,3.18,1.54,1.14,6.33,11.91,13.92,Central Asia,2.01,Inflation
KHM,Cambodia,Asia,Inflation,3.02,2.91,2.39,2.01,2.94,2.92,6.07,South-eastern Asia,3.1500000000000004,Inflation
KIR,Kiribati,Oceania,Inflation,1.92,0.36,0.59,-1.88,2.48,3.0,5.6,Micronesia,2.5999999999999996,Inflation
KNA,St. Kitts and Nevis,North America,Inflation,-0.34,0.0,-0.23,-0.18,-0.59,0.2,3.78,Caribbean,3.5799999999999996,Inflation
